p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,Class
0.028832549,0.332179608,0.354420392,0.42352,0.003638824,0.000183529,0.028136601,-0.41951098,0.026065752,-0.000935163,0.003733072,0.30934902,0.303729281,0.349124575,0.338591895,0.003633856,0.028888235,-0.423968235,0.025510196,0,0,0.00783817,0.347839608,0.256378431,0.416666667,0.061526667,0.028888235,-0.423968235,0.025510196,0,0,0.006347451,0.121826144,0.371420915,0.360338693,0.451139739,0.033735033,-0.423968235,0.025510196,0,0,0,0.003455294,0.355857778,0.333303268,0.421825882,0.234475163,-0.420517908,0.025510196,0,0,0,0.000277778,0.003529412,0.306640392,0.219402614,0.375186667,-0.405020784,0.025510196,0,0,0,0,0.007560392,0.217349804,0.351768758,0.389241307,-0.00438,0.028032941,0,0,0,0,0,0.005791895,0.367878954,0.380652418,-0.058932157,0.023639869,0,bosnia
0.162059608,0.313715948,0.401000131,0.446256863,0.014180654,0.011481961,0.053799477,-0.375117516,0.016549542,-0.012714771,0.006067059,0.361878562,0.362426536,0.424275556,0.293419216,0.015210065,0.058990588,-0.347802876,0.024283529,-0.012062353,0.012801438,0.020940131,0.319951373,0.258255556,0.416856078,0.082975686,0.064018301,-0.321517647,0.025017647,-0.005047582,0.012622876,0.016462745,0.224184314,0.369136078,0.330274379,0.500010588,0.065585752,-0.299791503,0.031377647,-0.004020784,0.013835817,0.018987843,0.012243529,0.366797124,0.382669281,0.479428105,0.281044183,-0.300634771,0.034837908,-0.001867712,0.015237255,0.016651242,0.006459216,0.030524314,0.349156209,0.197622876,0.457072026,-0.332917647,0.041478039,-9.42E-05,0.014113595,0.010849412,0.006553464,-0.001319739,0.276543922,0.410512418,0.515953464,0.107973856,0.042695948,-0.005144444,0.012531242,0.02356183,0.008321961,-0.006163922,0.007649673,0.377004314,0.404901438,0.052853987,0.009256993,0.019426928,bosnia
0.070811111,0.335693595,0.235270327,0.42879817,0.002237386,0.000840915,0.022247843,-0.365298954,0.024004314,-0.004502222,0.006369935,0.334718431,0.338290458,0.362885752,0.29025634,0.004291242,0.022443922,-0.377946536,0.022704706,-0.004407974,0.002820392,0.004464575,0.303083922,0.176227974,0.377272549,0.048533595,0.022443922,-0.378224314,0.022704706,-0.005343137,0.002820392,0.007560392,0.209952549,0.350592026,0.327083399,0.425579085,0.026633333,-0.378224314,0.022704706,-0.005343137,0.002820392,0,0.005412288,0.369313987,0.323469935,0.429353725,0.179204837,-0.375153595,0.022704706,-0.005343137,0.002820392,0,0.001584967,0.033297124,0.349933464,0.215069673,0.357198039,-0.37037451,0.022704706,-0.005343137,0.002820392,0,0,0.003169935,0.301572157,0.302622614,0.361346405,-0.011977647,0.023451373,-0.005343137,0.002820392,0,0,0.000935163,0.00783817,0.351618824,0.269620523,-0.027676601,0.021206405,-0.003661307,bosnia
0.092333725,0.375897386,0.039979869,0.569681569,0.123405098,0.05392902,0.133647843,0.024331765,-0.135051111,-0.025895817,-0.002840261,0.313246275,0.304889935,0.244916993,0.385721176,0.017755556,0.157847712,0.077623529,-0.037281569,-0.070772157,-0.001041699,-0.003202353,0.269375556,0.421904314,0.321156993,0.234543529,0.17095634,0.143203137,0.001679216,-0.144099216,-0.000106536,-0.002547582,0.034304314,0.236208889,0.463084837,0.377876993,0.319261961,0.159901569,0.026457386,-0.237418693,-0.001332026,-0.001589935,0.004774771,0.122431895,0.279522614,0.415361046,0.48474719,0.398616601,0.067224967,-0.344408235,-0.004958301,-0.001495686,0.014133725,-0.007136209,0.20171634,0.331646405,0.284885359,0.573101699,0.302059346,-0.464816863,-0.001867712,-0.002998954,0.017244444,-0.014624837,-0.002358824,0.249454641,0.354025098,0.394362745,0.420560654,-0.526421699,0.00112366,-0.002537647,0.017172418,-0.002723529,-0.012938039,-0.013419216,0.358638562,0.367020131,0.467843791,0.039432418,bosnia
0.266071503,0.328697124,0.181978562,0.224761569,0.118341569,0.022388497,0.042901699,0.037655163,-0.267109804,0.033231634,0.018444314,0.318628889,0.234425621,0.252961307,0.24477634,0.102409935,0.035906797,0.080087974,-0.288615033,0.032013725,0.001312157,0.134911111,0.359640261,0.092542745,0.336810588,0.170824967,0.068264052,0.090624837,-0.254484314,0.030329542,0.021828105,0.046163791,0.246117908,0.28832549,0.176433333,0.271723268,0.129865752,0.041199739,-0.264076078,0.031083529,0.013024967,0.012739608,0.039513725,0.345112026,0.211193464,0.234616601,0.340139085,0.114593333,-0.274330196,0.03360366,-0.002802876,0.016678693,0.021545359,0.010179739,0.301345098,0.205761046,0.257068889,0.282878562,-0.227271503,0.033231634,0.016862222,0.009837516,0.023237124,0.011241569,0.034529935,0.331692941,0.177107451,0.442789281,-0.126581046,0.03388902,0.017708105,0.029316732,0.04459634,0.015557647,6.94E-18,0.180768758,0.380002353,0.297284967,-0.003378301,0.02976902,bosnia
0.066671111,0.392350196,0.044084967,0.579851373,0.127859739,0.062990327,0.13832366,0.017046536,-0.196566405,-0.008465621,-0.003306536,0.294037908,0.311792941,0.251445359,0.379442876,0.025135033,0.157292157,0.07052183,-0.085469412,-0.034153203,-0.000106536,-0.001711634,0.256774902,0.421715817,0.333283791,0.231564706,0.173206275,0.139475033,-0.018090196,-0.087825229,-0.000106536,-0.00264183,0.039528105,0.239443922,0.447959085,0.39272,0.304416601,0.157766013,0.024207451,-0.16827098,-0.002172941,-0.001589935,0.00486902,0.12065085,0.314702614,0.390715294,0.479347451,0.391899739,0.063667843,-0.274888497,-0.003651111,-0.001495686,0.013855948,-0.010313725,0.201622092,0.276203529,0.276680131,0.571335817,0.298026013,-0.403041307,-0.001217908,-0.003839869,0.017155163,-0.016217386,-0.004144837,0.262055294,0.301583791,0.341653595,0.414292549,-0.525751503,0.001964575,-0.003093203,0.017822222,-0.004308497,-0.014339477,-0.018462092,0.391119869,0.313921438,0.388357778,-0.053730588,bosnia
0.028175163,0.342471111,0.350379739,0.42499085,0.002515163,0.000277778,0.026082745,-0.438791373,0.025510196,0,0.003075686,0.315808235,0.312530065,0.34694902,0.338869673,0.004005882,0.026082745,-0.438791373,0.025510196,0,0,0.007560392,0.355901307,0.260783791,0.416108497,0.058264837,0.026082745,-0.438791373,0.025510196,0,0,0.006347451,0.129959608,0.380410196,0.362280784,0.450209542,0.030929542,-0.438791373,0.025510196,0,0,0,0.003733072,0.368396601,0.34238183,0.425464706,0.227400915,-0.436181961,0.025510196,0,0,0,0.000277778,0.003529412,0.320848497,0.231968497,0.365406144,-0.426833856,0.025510196,0,0,0,0,0.00783817,0.232860131,0.355149673,0.392703922,-0.024221176,0.02812719,0,0,0,0,0,0.007282614,0.37873098,0.366035556,-0.066023922,0.024575033,0,bosnia
0,0.573119216,0.354300392,0.381601307,0,0,0,-0.64086,0,0,0,0.573119216,0.573119216,0.373380654,0.207731242,0,0,-0.64086,0,0,0,0,0.554038954,0.606509673,0.21362,0,0,-0.64086,0,0,0,0,0.286559608,0.573119216,0.097508497,0.42724,0,-0.64086,0,0,0,0,0,0.252980654,0.573119216,0.363351503,0.21362,-0.64086,0,0,0,0,0,0,0.573119216,0.017526536,0.362310196,-0.64086,0,0,0,0,0,0,0.274119739,0.585559085,0.4197,-0.42724,0,0,0,0,0,0,0,0.573119216,0.859678824,-0.21362,0,0,bosnia
0.167029542,0.314423791,0.353503007,0.465054248,0.027527059,0.003728105,0,0,0.033447582,-0.354937647,-0.013128758,0.353611765,0.256483268,0.324830588,0.444223399,0.00260183,0.001118693,0,0.031686667,-0.35612549,-0.015470327,0.004663268,0.305747059,0.247888235,0.39413634,0.346454379,0.004377908,0,0.031686667,-0.35612549,-0.017055294,0.005318039,0.06614549,0.388771634,0.153570196,0.469077386,0.235605621,0.003728105,0.031686667,-0.35612549,-0.017055294,0.003356078,0.00783817,0.19377817,0.372450458,0.264720131,0.425131503,0.125834118,0.036248105,-0.35612549,-0.017055294,0.003356078,0,0.003733072,0.326550327,0.25948719,0.341172157,0.399360131,0.083988105,-0.35612549,-0.017055294,0.003356078,0,0,0.00513451,0.388126797,0.212440915,0.358428235,0.487503137,-0.353238301,-0.016499739,0.004100131,0,0,0,0.009145359,0.363404314,0.096647059,0.366296993,-0.366121961,bosnia
0.303001569,0.275934641,0.45009085,0.268418039,0.02213268,0.011035556,-0.000754248,0.016185098,-0.19537281,0.073455163,0.09711268,0.386850458,0.229679216,0.389870327,0.11994366,-0.000280392,-0.030346013,0.033093987,-0.234779869,0.081303268,0.037410196,0.346490719,0.301175033,0.298119216,0.375877908,0.048182092,0.00747085,-0.019141699,-0.310621961,0.044527843,0.070792288,-0.016746928,0.388573333,0.255969281,0.292425882,0.396867059,0.03477281,-0.003415425,-0.386580784,-0.016657647,0.067327059,0.007630719,0.00093281,0.423708758,0.202706275,0.417889412,0.328880654,-0.012017516,-0.386277908,0.041188758,0.034816209,0.015277778,0.055137778,0.09027085,0.337446144,0.195615425,0.346762353,0.101374771,-0.242883399,0.081848235,0.006010458,0.021831242,0.037968366,0.02243085,0.222490065,0.311810327,0.23061085,0.442475948,-0.240869281,0.02253451,-0.003484183,0.020623268,0.016157778,0.023460261,0.006736993,0.319651242,0.234202876,0.239521961,-0.320233856,0.050915556,bosnia
