p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,Class
-0.016683268,0.005766797,0.081816601,-0.071610196,0.006424706,-0.003951373,-0.003199739,-0.005987712,-0.016512288,-0.017157124,0.00280549,0.009917124,-0.037306144,-0.072652418,0.015428889,0.004398039,9.42E-05,0.002148105,0.003361046,0.003083268,-1.39E-17,0.019367974,-0.096188627,-0.022505229,-0.065369804,0.010381046,0,0,6.94E-18,-1.39E-17,-1.39E-17,-1.39E-17,0.013196471,-0.030233725,-0.032139216,-0.020111111,0.010564575,0,6.94E-18,-1.39E-17,-1.39E-17,-1.39E-17,0.004864314,-0.013617516,-0.057504052,-0.027200784,0.009445882,0,6.94E-18,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,0.015905098,-0.099572157,-0.038896078,-0.1217,0.014659739,6.94E-18,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,0.021332549,-0.035294379,-0.05537098,0.009351634,0.007148366,-1.39E-17,0.044796863,0.044796863,0.044796863,0.044796863,0.053034771,-0.001574771,0.074083399,0.113981307,0.050871765,0.044796863,bosnia
-0.007004575,0.049740261,0.034276863,-0.050293725,-0.003274118,-0.00896183,-0.005690065,0.010638693,0.007366928,-0.004489673,0.014458431,-0.025950327,-0.081385621,-0.036654379,0.004380523,-0.006813725,-0.018772157,-0.018782092,-0.021019216,-0.009631503,-0.001495686,0.007565359,-0.072146013,-0.021647712,-0.139421307,0.018650458,0.00411268,0.018935817,0.016973595,0.002423268,0.000937778,-0.002530065,0.025935425,-0.068742876,-0.046474379,-0.030122484,-0.000188497,-0.007200915,-0.007481046,0.000277778,0.001773464,0.004395425,0.021473203,-0.027713856,-0.035968889,0.009901046,0.026223399,0.00663281,0.003923922,0.006632549,0.003088235,6.94E-18,-0.004028366,0.002599477,-0.07740719,-0.005975425,-0.16593451,-0.002953725,0.000563137,0.002991373,0.004020784,0.001679216,0.007959869,0.006464183,0.015279216,-0.033220392,-0.067309804,0.009827843,0.038290719,0.004216863,0.017660784,0.026994641,0.026528366,0.028864967,0.057159477,-0.047314379,0.157849935,0.101323137,0.044062484,0.040443529,bosnia
0.011341046,0.082680261,0.103300261,-0.011605359,0.053610065,0.04445451,0.045389673,0.037571373,0.012246144,0.007317647,0.002433464,-0.011841438,-0.021329281,0.002306928,0.004966144,0.00561098,0.000833333,0.000555556,2.78E-17,2.78E-17,0,0.015059216,-0.097967059,-0.01299281,-0.089200654,0.010381046,5.55E-17,5.55E-17,2.78E-17,2.78E-17,0,2.78E-17,0.018527059,-0.020364444,-0.021113072,-0.008259477,0.01000902,5.55E-17,2.78E-17,2.78E-17,0,2.78E-17,0.012261307,-0.043831373,-0.03445268,-0.004479085,0.007203529,0,2.78E-17,2.78E-17,0,2.78E-17,2.78E-17,0.003651373,-0.06308732,-0.003196993,-0.098172549,0.013541046,2.78E-17,2.78E-17,0.000282745,0.000282745,0.000282745,0.000282745,0.014029804,-0.009535163,-0.036720131,0.010482876,0.015093333,0.001217908,-0.008431373,-0.008619869,-0.008714118,-0.008714118,0.006541176,-0.101352941,0.020979739,0.04164183,-0.006836209,-0.006749542,bosnia
-0.002249673,0.065860392,0.11401281,-0.182092549,-0.001029412,-0.014468627,-0.012251373,0.002053856,0.07097817,0.081197647,0.011834118,-0.019223268,0.006394118,0.042095556,-0.147862092,0.000323007,-0.039427712,-0.000935163,0.060981961,0.067756078,-0.001880261,0.017817124,-0.043593856,0.078964444,-0.022548627,-0.080031242,-0.021305098,-0.013370065,0.038861307,0.039920523,0.001488366,-0.000198431,0.011568889,-0.038461699,0.180044706,-0.062388105,-0.047704706,-0.030847843,0.029353595,0.030281176,0.00128732,-0.000560523,0.005620915,0.016889542,-0.06039098,0.22173817,-0.04239098,-0.031415948,0.029899216,0.041383791,-0.00207634,-0.00243085,0.004025752,0.004030719,0.015946797,-0.088933725,0.09200915,-0.150171503,0.042847059,0.071588497,-0.003090588,-0.002909673,0.00085085,0.006851111,0.004132549,0.015569542,-0.094628497,0.148506013,-0.133140915,0.124226013,-0.002063791,0.000649804,-0.000563137,0.007406667,0.006563399,0.002894771,0.011301046,-0.147096732,-0.05723451,0.057402353,bosnia
0.000246013,0.103398954,0.126891242,-0.005035294,-0.00559085,0.01511085,0.001870327,0.050826536,0.046275033,0.011040523,0.031946013,-0.126519216,0.098957255,0.027761438,-0.035534771,0.020146144,0.026014771,0.00671451,0.015299346,0.007386797,0.014991895,0.012174379,-0.101325752,0.119176863,-0.073135425,-0.035534771,0.034044052,0.024712549,0.011759739,0.01251634,0.006089542,0.006000261,0.006362614,-0.016156863,0.110637908,-0.125351242,-0.022289281,0.028167843,0.013724314,0.003842222,0.029968889,0.006645098,0.00552902,-0.017146928,0.050154641,0.127231503,-0.075427582,-0.006342484,0.025263137,0.023115033,0.014981961,0.00964902,0.003559477,0.01114,-0.098882092,0.099659216,0.062293333,-0.015849804,-0.012886013,-0.010234379,0.006183791,0.010861961,0.003743007,0.00534549,0.010676078,-0.148255294,0.119100915,-0.052493072,0.054086405,0.038074902,0.009827582,0.007687059,0.000751634,-0.00055817,0.009182745,0.011975948,-0.10849634,0.106150196,-0.03296,0.000262876,bosnia
-0.00299634,0.064091895,0.097775948,-0.178632288,-9.42E-05,-0.014468627,-0.011221961,0.001212941,0.068651503,0.079801176,0.011923399,-0.018193856,-0.001816078,0.039945098,-0.14157098,-0.000517908,-0.039055686,0.001212941,0.060051765,0.068316601,-0.001880261,0.016881961,-0.03370183,0.066358824,0.017642745,-0.082546405,-0.022991895,-0.011221961,0.046689542,0.047843007,-0.000381961,-0.000575425,0.013248105,-0.021666667,0.149989281,-0.058910588,-0.05003634,-0.030006928,0.031504314,0.029182614,0.001575294,-0.000466275,0.005620915,0.01604366,-0.038644967,0.200448497,-0.081782876,-0.032534641,0.028490196,0.039513464,-0.00207634,-0.002153072,0.00412,0.004308497,0.013982222,-0.076705098,0.081246275,-0.167162614,0.04406,0.060498431,-0.003936471,-0.003192418,0.000573072,0.008158301,0.005439739,0.016226928,-0.059537778,0.136369281,-0.13799268,0.117518824,-0.001614771,7.44E-05,-0.001329673,0.006084575,0.006364967,-0.000664706,0.009326536,-0.099705621,0.008072941,0.040051503,bosnia
0.000473856,0.025912941,0.09723268,-0.068125098,0.011499739,-1.11E-16,-1.11E-16,0,-6.94E-18,1.39E-17,1.39E-17,0.009071242,-0.035909673,-0.068636601,0.013092288,0.004492288,-1.11E-16,0,-6.94E-18,1.39E-17,1.39E-17,0.020303137,-0.099093333,-0.021304837,-0.059855686,0.010381046,-1.11E-16,0,-6.94E-18,1.39E-17,1.39E-17,1.39E-17,0.013474248,-0.030062745,-0.028584706,-0.017873725,0.011499739,0,-6.94E-18,1.39E-17,1.39E-17,1.39E-17,0.004586536,-0.01426732,-0.054993856,-0.025236209,0.010286797,0.000751634,-6.94E-18,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.013752026,-0.09865451,-0.036934118,-0.12086915,0.01568915,-6.94E-18,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.019367974,-0.021954641,-0.062730327,0.010103268,0.014994118,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.013474248,-0.055050719,0.024997908,0.080579739,0.005050458,1.39E-17,bosnia
1.39E-17,0.269033072,0.586769673,0.300210065,-1.11E-16,-1.11E-16,-1.11E-16,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-0.21362,0.078828366,0.005888758,-1.11E-16,-1.11E-16,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.052470719,0.348811765,0.329731503,-1.11E-16,-1.11E-16,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-0.286559608,0.072939608,-1.11E-16,-1.11E-16,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.033578954,0.320138562,0.350448105,-1.11E-16,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-0.277508497,-0.066699477,-0.075750588,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.012439869,0.281472941,0.359499216,0.072939608,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-0.062953072,0.072939608,1.39E-17,1.39E-17,bosnia
0.02140902,0.10639817,0.132171895,-0.05028549,0.033501307,0.022383529,0.022383529,0.023502222,0.022480392,0.016720915,0.009795163,-0.061951111,0.066889542,0.040224183,-0.007235033,0.006647974,0,0,8.33E-17,4.16E-17,-1.39E-17,0.012226013,-0.135193072,0.131445229,-0.022061699,0.010946797,0.008704444,0,8.33E-17,4.16E-17,-1.39E-17,0,0.006997255,-0.16282732,0.131335686,-0.124821176,0.006459477,0.002718824,8.33E-17,4.16E-17,-1.39E-17,0,0.000277778,0.014557647,-0.094975163,0.102825882,-0.176199869,0.008424052,8.33E-17,4.16E-17,-1.39E-17,0,-2.78E-17,0.001212941,0.011481961,-0.037307712,0.129321961,-0.092298693,0.011224575,4.16E-17,-1.39E-17,0,-2.78E-17,-2.78E-17,0.008210196,-0.022301569,0.047681438,0.135472941,-0.02455817,0.005058039,-0.000367059,0.000282745,0.000282745,0.000282745,0.000282745,0.018112157,-0.080512026,-0.002103399,0.040946013,0.006803791,bosnia
-0.128221438,0.028750719,0.04525085,0.030176993,0.013962614,0.004544183,0.002378824,0.019878301,0.004104837,-0.008763922,0.050491765,-0.066309412,0.032144052,-0.14441098,0.012127059,0.029529412,0.04859634,0.008520261,0.017646013,-0.006002614,0.017015948,0.017006013,-0.058923268,0.054596601,-0.086276863,-0.000577778,0.050737124,0.068373464,0.058640654,0.007354641,0.015224967,0.045317778,-0.002023791,0.028023137,0.074749673,-0.037791765,0.008324314,0.031221438,0.030554118,0.001666928,0.001594902,0.010100392,-0.002718301,-0.100110196,0.048931242,0.023968235,-0.009899085,-0.038101961,-0.06201098,0.044875817,-0.003638824,-0.004563791,0.02081817,0.017558954,-0.11811085,0.040053595,-0.156359216,-0.038526667,0.028789673,0.063402353,-0.005536601,-0.004015817,0.003541961,-0.024449412,-0.027438431,-0.14040549,0.026356863,-0.006562614,0.083226797,-0.035519739,0.003735425,0.002244706,-0.003653725,-0.001870327,0.039545752,0.036008758,-0.009777647,0.039528105,-0.041725882,0.012637778,bosnia
